Who,Where,When,What,Why,How,Additional information,CLASS
0.6967830657958984,0.076059915,1,0.5052615404129028,1,1,1,entailment
0.7625818252563477,1,1,0.9441606998443604,1,1,0.6994884014129639,entailment
0.8813570737838745,0.2654082179069519,1,0.3608033359050751,1,1,1,contradiction
0.15336623787879944,1,1,0.35831600427627563,1,1,1,contradiction
0.9199031591415405,0.7159836292266846,1,0.22467884421348572,1,1,1,neutral
0.3555416464805603,0.9704940319061279,1,0.012387009337544441,1,1,1,neutral
0.627316952,0.9315769672393799,0.1875661164522171,0.6908599138259888,0.1875661164522171,0.35085415840148926,0.1875661164522171,neutral
1,1.0000001192092896,1,0.2799240052700043,1,0.13744929432868958,1,entailment
0.5750253200531006,0.19680717587471008,1.0000001192092896,0.6191250681877136,1.0000001192092896,1.0000001192092896,1.0000001192092896,neutral
0.6848194003105164,1,1,0.5200338959693909,1,0.17777787148952484,1,entailment
1.000000238418579,1,1,-0.011613283,1,1,1,neutral
0.28741246461868286,1,1,0.517933726,1,0.097933948,1,contradiction
0.6656250357627869,1,1,0.9023887515068054,1,1,1,entailment
0.23858922719955444,1,1,0.14128535985946655,1,0.24688738584518433,1,contradiction
0.44108715653419495,0.2809441387653351,0.1985108107328415,0.14428159594535828,0.175535649,0.14918813109397888,0.5418602824211121,neutral
0.9199031591415405,0.9467133283615112,1,0.1523878127336502,1,1,1,neutral
1.0000001192092896,1,1,0.6327549815177917,1,1,0.14449724555015564,entailment
1,0.560035765,1,0.2875698208808899,1,1,1,contradiction
0.6210851669311523,1,1,0.789108396,1,1,1,contradiction
0.6907806396484375,1,1,0.74919486,0.2708170413970947,1,1,entailment
1.0000001192092896,0.14464353024959564,1,1,1,1,1,entailment
0.8387744426727295,1,1,0.6008259057998657,1,1,1,entailment
0.8961348533630371,1,1,0.2367914617061615,1,1,1,neutral
1,1,1,0.43763595819473267,1,1,1,contradiction
0.5106773972511292,1,1,0.7982722520828247,1,1,1,entailment
0.6142842769622803,1,1,0.23529082536697388,1,1,1,neutral
0.7948483824729919,1,1,0.379285604,1,1,1,entailment
1,0.9999999403953552,1,0.032397136092185974,1,0.24911600351333618,1,entailment
0.4990302324295044,0.2178707718849182,1,1,1,1,1,entailment
0.7120862007141113,1,1,0.2160525619983673,1,1,1,neutral
0.891482949,1,1,0.22633835673332214,1,1,1,neutral
0.4568633437156677,1,1,0.6964704990386963,1,1,1,contradiction
0.18403282761573792,0.3504739999771118,1,0.5343248844146729,1,1,1,contradiction
1,1,1,0.9110335111618042,1,1,0.2771095335483551,entailment
0.7958192229270935,0.2222212255001068,0.1875661164522171,0.089148872,-0.009505197,0.1875661164522171,0.1875661164522171,contradiction
0.5940365195274353,1,1,0.30315014719963074,1,1,1,neutral
0.790394664,0.5905424356460571,1,1,1,1,1,entailment
0.6041660308837891,0.2507953643798828,0.1875661164522171,0.21837930381298065,0.1875661164522171,0.026424705982208252,0.1875661164522171,neutral
0.5227905511856079,1,1,0.3462148904800415,1,1,1,neutral
0.8804723024368286,0.2543122470378876,0.1875661164522171,0.8149127960205078,0.1875661164522171,0.1875661164522171,0.2785969376564026,entailment
0.8987023234367371,1,1,0.22949224710464478,1,1,1,neutral
0.9815933108329773,0.7130820751190186,1,0.085707836,1,1,1,neutral
0.8296040892601013,1,1,0.081976958,1,1,1,contradiction
0.2516213059425354,0.11208832263946533,1,0.033658151,1,1,1,neutral
0.42650559544563293,1,1,0.1990121304988861,1,1,1,entailment
1.0000001192092896,0.3580852746963501,0.1875661164522171,0.4582550823688507,0.15480223298072815,0.23098140954971313,0.1875661164522171,neutral
1.0000001192092896,1,1,0.6663662195205688,-0.004531978,1,1,neutral
1,1,1,0.8240084648132324,1,0.9207088947296143,1,entailment
0.39701128005981445,0.10487721115350723,1,1,1,1,-0.013458885,contradiction
0.8029696941375732,0.094227634,0.28185996413230896,0.8058227300643921,0.6235224008560181,0.2725023925304413,0.007665038,neutral
1.000000238418579,1,1,0.8667292594909668,1,1,1,entailment
0.5437660217285156,0.30135560035705566,1,0.9789584875106812,1,1,1,entailment
0.4839390218257904,0.6977202892303467,1,0.4547792077064514,1,1,1,neutral
0.5352815985679626,1,1,0.8126060366630554,1,1,1,entailment
1.0000001192092896,0.21314790844917297,1,0.642328143,1,1,1,contradiction
0.5704191327095032,1,1,1,1,1,1,entailment
1,1,1,1,1,1,1,entailment
0.6005101203918457,0.9117668867111206,1,0.1151471957564354,1,1,1,neutral
1,0.5853879451751709,1,1,1,1,1,neutral
1,1,1,1,1,1,1,neutral
1.0000001192092896,0.21580585837364197,1,0.2745797038078308,1,1,1,neutral
0.8987023234367371,1,1,0.13587066531181335,1,1,1,neutral
0.5971160531044006,0.1800328493118286,1,0.45725369453430176,1,1,1,neutral
1,0.6195916533470154,1,0.33978015184402466,1,1,1,entailment
0.6782851219177246,1,1,0.6592142581939697,1,0.10721889138221741,0.5646564960479736,entailment
0.932740331,1,1,0.49733930826187134,1,1,1,contradiction
0.7948483824729919,1,1,0.9245389103889465,1,1,1,entailment
0.4404905140399933,0.7179181575775146,0.535778821,0.33049440383911133,1,1,1,entailment
0.4776146709918976,1,1,0.658915102,1,1,1,neutral
0.2648489773273468,1,1,0.11883864551782608,1,1,1,contradiction
0.8742685914039612,0.7988799214363098,1,0.6240819692611694,1,1,1,entailment
0.093085483,1,1,0.047408588230609894,1,1,1,contradiction
0.47419121861457825,1,1,0.3231995105743408,1,1,0.1491466462612152,contradiction
0.5549951791763306,0.24599118530750275,1,1,1,1,0.079370633,contradiction
0.48806869983673096,1,1,0.21675527095794678,1,1,1,neutral
1.0000001192092896,1,1,0.19076961278915405,1,1,0.7638956308364868,entailment
0.767246425,0.47614341974258423,1,1.0000001192092896,1,1,1,entailment
0.5568926930427551,1.0000001192092896,1,0.9999999403953552,1,1,1,entailment
0.7456226944923401,0.4985198676586151,1,0.8870168924331665,1,1,1,entailment
0.9433457851409912,1,1,0.419082373,1,1,1,contradiction
0.3360864520072937,0.2401084303855896,0.18954823911190033,0.3911822736263275,0.18009772896766663,0.18745483458042145,0.40233224630355835,neutral
1.0000001192092896,1,1,0.4754694700241089,1,1,1,entailment
0.6212831735610962,0.44577038288116455,1,1,1,1,1,entailment
1.0000001192092896,0.29460975527763367,1,0.6106952428817749,1,1,1,entailment
0.2779311537742615,0.281877339,1,0.23788243532180786,1,1,1,contradiction
1.000000238418579,1,1,0.1202089935541153,1,0.1534537374973297,1,entailment
1,1.0000001192092896,1,0.19690990447998047,1,1,1,entailment
1.0000001192092896,1,1,0.22065046429634094,1,1,1,entailment
1,1,1,1,1,1,1,contradiction
0.7948483824729919,1,1,0.685753345,1,1,1,contradiction
0.7138519883155823,0.36119621992111206,1,0.20769143104553223,1,1,1,contradiction
0.8253978490829468,1,1,0.17737546563148499,0.7207167148590088,0.17753133177757263,1,neutral
0.7567174434661865,1,1,0.099991269,1,1,1,entailment
0.47419649362564087,0.30552706122398376,1,1,1,1,0.10704635083675385,entailment
0.4578399658203125,0.19188621640205383,0.1875661164522171,0.1299220621585846,0.1875661164522171,0.16097596287727356,0.26549404859542847,contradiction
0.7066428661346436,0.21028566360473633,1,0.57039237,1,1,1,entailment
0.8949556350708008,1,1,0.8302839994430542,1,1,1,entailment
0.072304986,1,1,0.086890094,1,1,1,contradiction
0.6556743383407593,1,1,0.357685387,1,1,1,contradiction
0.6153209209442139,1,1,0.030109556391835213,1,1,1,contradiction
